17-01-000025, Solar ,240,3.99,2018-01-29,85.14,,11974.94, OR ,832,, BlueRaven ,Carval,1-7.18
17-01-000026, Solar ,120,3.99,2018-01-26,89.04,,22689.67, AZ ,690,43.8, SunRun ,Carval,1-7.18
17-01-000032, Solar ,240,3.99,2018-01-22,85.14,,17081.64, SC ,718,, BlueRaven ,Carval,1-7.18
17-02-000020, Solar ,240,3.99,2018-01-26,85.14,,24373.88, CO ,786,, BlueRaven ,Carval,1-7.18
17-02-000031, Solar ,240,3.99,2018-03-02,85.14,,19331.04, CO ,712,, BlueRaven ,Carval,1-7.18
17-03-000013, Solar ,240,3.99,2018-01-30,85.14,,18302.55, CO ,655,37.3, BlueRaven ,Carval,1-7.18
17-03-000021, Solar ,120,3.99,2018-01-24,89.04,,21132.54, AZ ,837,, SunRun ,Carval,1-7.18
17-04-000005, Solar ,240,4.99,2018-01-25,89.54,,27137.78, CA ,850,, Velocity ,Carval,1-7.18
17-04-000024, Solar ,240,3.99,2018-01-29,85.14,,10147.84, CO ,771,, BlueRaven ,Carval,1-7.18
17-05-000007, Solar ,240,3.99,2018-01-16,85.14,,37971.59, SC ,748,, BlueRaven ,Carval,1-7.18
17-05-000026, Solar ,240,3.99,2018-02-02,85.14,,10112.93, CO ,809,, BlueRaven ,Carval,1-7.18
17-07-000025, Solar ,240,4.99,2018-01-31,89.54,,41973.67, CA ,745,, Velocity ,Carval,1-7.18
17-08-000016, Solar ,240,4.99,2018-01-24,89.54,,33764.64, CA ,705,, Velocity ,Carval,1-7.18
17-08-000022, Solar ,240,3.99,2018-03-06,85.14,,39811.46, NC ,733,, BlueRaven ,Carval,1-7.18
17-08-000029, Solar ,240,3.99,2018-01-24,85.14,,10713.17, CO ,752,, BlueRaven ,Carval,1-7.18
17-09-000002, Solar ,240,3.99,2018-01-30,85.14,,27475.53, SC ,787,, BlueRaven ,Carval,1-7.18
17-09-000025, Solar ,240,3.99,2018-01-26,85.14,,17491.16, CO ,791,, BlueRaven ,Carval,1-7.18
17-09-000030, Solar ,240,3.99,2018-03-16,85.14,,25211.66, NC ,834,, BlueRaven ,Carval,1-7.18
17-10-000012, Solar ,240,3.99,2018-02-01,85.14,,28905.88, SC ,805,, BlueRaven ,Carval,1-7.18
17-10-000025, Solar ,240,3.99,2018-03-22,85.14,,30005.89, SC ,738,, BlueRaven ,Carval,1-7.18
17-11-000014, Solar ,240,3.99,2018-01-25,85.14,,29822.84, SC ,845,, BlueRaven ,Carval,1-7.18
17-11-000018, Solar ,240,3.99,2018-01-16,85.14,,28947.6, SC ,776,, BlueRaven ,Carval,1-7.18
17-11-000021, Solar ,240,3.99,2018-01-24,85.14,,18302.55, CO ,740,, BlueRaven ,Carval,1-7.18
17-12-000027, Solar ,240,3.99,2018-03-02,85.14,,26888.91, SC ,782,, BlueRaven ,Carval,1-7.18
17-13-000011, Solar ,240,3.99,2018-02-06,85.14,,32474.1, SC ,676,48.7, BlueRaven ,Carval,1-7.18
17-14-000005, Solar ,240,3.99,2018-01-19,85.14,,37402.85, SC ,746,, BlueRaven ,Carval,1-7.18
17-14-000011, Solar ,240,3.99,2018-01-31,85.14,,10423.69, CO ,660,48.6, BlueRaven ,Carval,1-7.18
17-14-000016, Solar ,240,3.99,2018-02-06,85.14,,24410.13, SC ,772,, BlueRaven ,Carval,1-7.18
17-15-000009, Solar ,240,3.99,2018-01-31,85.14,,42013.18, SC ,714,, BlueRaven ,Carval,1-7.18
17-15-000011, Solar ,240,5.99,2018-01-24,94.14,,28006.65, AZ ,776,, SunRun ,Carval,1-7.18
17-15-000019, Solar ,240,3.99,2018-03-07,85.14,,24941.76, SC ,742,, BlueRaven ,Carval,1-7.18
17-16-000027, Solar ,240,3.99,2018-01-25,85.14,,14491.68, CO ,709,, BlueRaven ,Carval,1-7.18
18-01-000065, Solar ,240,3.99,2018-03-12,85.14,,13000.88, CO ,765,, BlueRaven ,Carval,1-7.18
18-01-000126, Solar ,120,2.99,2018-03-21,85.94,,14798.87, NM ,668,50, Ion ,Carval,1-7.18
18-01-000160, Solar ,120,2.99,2018-03-08,85.94,,19731.82, NM ,843,, Ion ,Carval,1-7.18
18-01-000190, Solar ,120,3.99,2018-03-13,89.04,,17214, CA ,850,, SunRun ,Carval,1-7.18
18-01-000228, Solar ,240,3.99,2018-03-16,85.14,,14116.21, CA ,707,, Solcius ,Carval,1-7.18
18-02-000065, Solar ,120,3.99,2018-03-08,89.04,,16989.24, CA ,722,, SunRun ,Carval,1-7.18
18-02-000136, Solar ,240,3.99,2018-03-14,85.14,,39413.7, SC ,802,, BlueRaven ,Carval,1-7.18
18-02-000202, Solar ,240,5.99,2018-03-09,94.14,,35773.2, OK ,722,, EnvirosolarPower ,Carval,1-7.18
18-03-000113, Solar ,240,3.99,2018-03-19,85.14,,29291.57, ID ,709,, BlueRaven ,Carval,1-7.18
18-03-000122, Solar ,120,3.99,2018-03-07,89.04,,22640.4, CA ,706,, SunRun ,Carval,1-7.18
18-03-000134, Solar ,120,3.99,2018-03-06,89.04,,11814.58, CA ,785,, SunRun ,Carval,1-7.18
18-03-000136, Solar ,120,3.99,2018-03-21,89.04,,18446.71, CA ,742,, SunRun ,Carval,1-7.18
18-03-000162, Solar ,240,4.99,2018-03-22,89.54,,27109.13, CO ,716,, Ion ,Carval,1-7.18
18-03-000196, Solar ,240,3.99,2018-03-22,85.14,,25116.3, CA ,693,53.2, Solcius ,Carval,1-7.18
18-03-000228, Solar ,240,3.99,2018-03-16,85.14,,23456.07, CA ,737,, Solcius ,Carval,1-7.18
18-04-000048, Solar ,240,5.99,2018-03-05,94.14,,18969.39, CA ,752,, SunRun ,Carval,1-7.18
18-04-000143, Solar ,240,5.99,2018-03-05,94.14,,14519.19, CA ,699,33.7, SunRun ,Carval,1-7.18
18-05-000066, Solar ,120,2.99,2018-03-21,85.94,,18734.92, FL ,695,45, SunRun ,Carval,1-7.18
18-05-000083, Solar ,240,3.99,2018-03-08,85.14,,12228.29, OR ,838,, BlueRaven ,Carval,1-7.18
18-05-000088, Solar ,240,5.99,2018-03-19,94.14,,46844.5, CA ,677,23.1, SunRun ,Carval,1-7.18
18-05-000101, Solar ,240,5.99,2018-03-20,94.14,,22677.41, CA ,784,, SunRun ,Carval,1-7.18
18-05-000116, Solar+Storage ,120,3.99,2018-03-14,89.04,,35827.08, CA ,785,, SunRun ,Carval,1-7.18
18-05-000131, Solar ,120,3.99,2018-03-21,89.04,,19094.71, CA ,671,44.8,1,Carval,1-7.18
18-05-000172, Solar ,120,3.99,2018-03-14,89.04,,23463.82, TX ,806,, Trismart ,Carval,1-7.18
18-05-000254, Solar ,240,4.99,2018-03-23,89.54,,42979.2, NJ ,850,, BrightPlanet ,Carval,1-7.18
18-06-000081, Solar ,240,3.99,2018-03-19,85.14,,14487.42, OR ,684,33.7, BlueRaven ,Carval,1-7.18
18-06-000129, Solar ,120,3.99,2018-03-13,89.04,,17180.59, CA ,773,, SunRun ,Carval,1-7.18
18-06-000141, Solar ,120,3.99,2018-03-09,89.04,,19278.25, CA ,801,, SunRun ,Carval,1-7.18
18-07-000044, Solar ,240,4.99,2018-02-07,89.54,,29465.82, MA ,754,, BrightPlanet ,Carval,1-7.18
18-07-000050, Solar ,240,3.99,2018-03-20,85.14,,17474.63, OR ,834,, BlueRaven ,Carval,1-7.18
18-07-000053, Solar ,120,3.99,2018-03-05,89.04,,11830.01, CA ,800,, SunRun ,Carval,1-7.18
18-07-000069, Solar ,240,4.99,2018-03-23,89.54,,28388.66, TX ,747,, Trismart ,Carval,1-7.18
18-07-000099, Solar ,120,2.99,2018-03-09,85.94,,21699.85, FL ,815,, SunRun ,Carval,1-7.18
18-07-000103, Solar+Storage ,120,3.99,2018-03-15,89.04,,16490.24, CA ,783,, SunRun ,Carval,1-7.18
18-07-000107, Solar ,120,3.99,2018-03-15,89.04,,16279.35, CA ,755,, SunRun ,Carval,1-7.18
18-07-000156, Solar ,120,3.99,2018-03-16,89.04,,16279.35, CA ,845,, SunRun ,Carval,1-7.18
